id,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_identity_verified,bedrooms,beds,accommodates,number_of_reviews,reviews_per_month,price,Entire_home_apt,Hotel_room,Private_room,Shared_room,bathrooms_number,Air_conditioning,Bed_linens,Coffee_maker,Cooking_basics,Dedicated_workspace,Dishes_and_silverware,Elevator,Essentials,Fire_extinguisher,First_aid_kit,Free_street_parking,Hair_dryer,Hangers,Heating,Hot_water,Iron,Kitchen,Long_term_stays_allowed,Oven,Refrigerator,Shampoo,Stove,TV,Washer,Wifi,neighbourhood__1o_nekrotapheio,neighbourhood__agios_eleutherios,neighbourhood__agios_konstantinos_plateia_bathes,neighbourhood__agios_nikolaos,neighbourhood__akademia_platonos,neighbourhood__akropole,neighbourhood__ampelokepoi,neighbourhood__ano_kupsele,neighbourhood__ano_patesia,neighbourhood__botanikos,neighbourhood__ellenoroson,neighbourhood__emporiko_trigono_plaka,neighbourhood__gkazi,neighbourhood__gkuze,neighbourhood__gouba,neighbourhood__goudi,neighbourhood__ilisia,neighbourhood__kerameikos,neighbourhood__kolokunthou,neighbourhood__kolonaki,neighbourhood__kolonos,neighbourhood__koukaki_makrugianne,neighbourhood__kupsele,neighbourhood__lukabettos,neighbourhood__mouseio_eksarkheia_neapole,neighbourhood__nea_kupsele,neighbourhood__neos_kosmos,neighbourhood__nirbana,neighbourhood__pagkrati,neighbourhood__patesia,neighbourhood__pedio_areos,neighbourhood__pentagono,neighbourhood__petralona,neighbourhood__plateia_amerikes,neighbourhood__plateia_attikes,neighbourhood__polugono,neighbourhood__prompona,neighbourhood__regilles,neighbourhood__rizoupole,neighbourhood__sepolia,neighbourhood__stadio,neighbourhood__stathmos_larises,neighbourhood__theseio,neighbourhood__zappeio
157869,1.0,1.0,1,8.0,1,2.0,2.0,4,173,1.79,61.0,1,0,0,0,1.0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
167416,,,0,1.0,0,2.0,4.0,4,0,,74.0,1,0,0,0,1.5,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179705,1.0,0.94,0,3.0,1,2.0,2.0,4,116,1.02,35.0,1,0,0,0,1.0,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185936,,,0,2.0,0,1.0,1.0,2,0,,30.0,0,0,1,0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196935,1.0,0.94,0,3.0,1,1.0,1.0,2,51,0.44,36.0,1,0,0,0,1.0,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
251361,,,0,1.0,0,1.0,1.0,4,1,0.01,129.0,1,0,0,0,1.0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270611,0.91,0.44,0,1.0,0,2.0,8.0,8,39,0.75,21.0,1,0,0,0,1.0,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270954,1.0,0.97,1,67.0,1,1.0,1.0,4,24,0.27,61.0,1,0,0,0,1.0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270973,1.0,0.97,1,67.0,1,1.0,1.0,4,11,0.19,62.0,1,0,0,0,1.0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
281158,0.93,1.0,0,9.0,1,3.0,8.0,8,57,0.71,45.0,1,0,0,0,1.0,1,1,0,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
306234,1.0,1.0,1,3.0,1,1.0,1.0,2,472,5.21,193.0,1,0,0,0,1.0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
308157,1.0,1.0,1,24.0,1,1.0,1.0,2,2,0.03,58.0,1,0,0,0,1.0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360940,0.0,0.0,0,1.0,0,2.0,3.0,4,21,0.21,58.0,1,0,0,0,1.5,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
361393,1.0,1.0,1,5.0,1,2.0,4.0,8,195,1.69,49.0,1,0,0,0,1.0,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
401423,1.0,0.97,1,4.0,1,1.0,1.0,3,446,3.93,65.0,1,0,0,0,1.0,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
408907,1.0,0.0,0,1.0,0,1.0,0.0,3,169,1.5,50.0,1,0,0,0,1.0,1,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
411452,1.0,0.97,0,4.0,1,1.0,2.0,5,332,3.17,29.0,1,0,0,0,1.0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
417223,1.0,,0,1.0,0,2.0,2.0,4,31,0.48,80.0,1,0,0,0,1.0,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
441091,1.0,1.0,0,1.0,0,1.0,1.0,3,24,0.46,60.0,1,0,0,0,1.0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
448768,1.0,1.0,1,1.0,1,2.0,2.0,5,67,0.75,55.0,1,0,0,0,1.0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
