id,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_identity_verified,latitude,longitude,bedrooms,beds,accommodates,number_of_reviews,reviews_per_month,bathrooms_number,Entire home/apt,Hotel room,Private room,Shared room,Air_conditioning,Bed_linens,Coffee_maker,Cooking_basics,Dedicated_workspace,Dishes_and_silverware,Elevator,Essentials,Fire_extinguisher,First_aid_kit,Free_street_parking,Hair_dryer,Hangers,Heating,Hot_water,Iron,Kitchen,Long_term_stays_allowed,Oven,Refrigerator,Shampoo,Stove,TV,Washer,Wifi,neighbourhood_1o_nekrotapheio,neighbourhood_agios_eleutherios,neighbourhood_agios_konstantinos_plateia_bathes,neighbourhood_agios_nikolaos,neighbourhood_akademia_platonos,neighbourhood_akropole,neighbourhood_ampelokepoi,neighbourhood_ano_kupsele,neighbourhood_ano_patesia,neighbourhood_botanikos,neighbourhood_ellenoroson,neighbourhood_emporiko_trigono_plaka,neighbourhood_gkazi,neighbourhood_gkuze,neighbourhood_gouba,neighbourhood_goudi,neighbourhood_ilisia,neighbourhood_kerameikos,neighbourhood_kolokunthou,neighbourhood_kolonaki,neighbourhood_kolonos,neighbourhood_koukaki_makrugianne,neighbourhood_kupsele,neighbourhood_lukabettos,neighbourhood_mouseio_eksarkheia_neapole,neighbourhood_nea_kupsele,neighbourhood_neos_kosmos,neighbourhood_nirbana,neighbourhood_pagkrati,neighbourhood_patesia,neighbourhood_pedio_areos,neighbourhood_pentagono,neighbourhood_petralona,neighbourhood_plateia_amerikes,neighbourhood_plateia_attikes,neighbourhood_polugono,neighbourhood_prompona,neighbourhood_regilles,neighbourhood_rizoupole,neighbourhood_sepolia,neighbourhood_stadio,neighbourhood_stathmos_larises,neighbourhood_theseio,neighbourhood_zappeio
19685619,0.268196797355047,0.3533557639401725,0,-0.3205225534727177,0,0.08240870859257537,1.8748724586482208,-0.6170482799558776,1.4488406423696694,0.18398933382789082,-0.6067237801399025,-0.9576184742753296,1.0,0,0,0,0,1,0,1,0,1,0,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17681067,0.268196797355047,0.3533557639401725,1,-0.3205225534727177,0,0.7328262003039974,0.678756021654076,-0.6170482799558776,-0.7419394837442267,-0.9956004915420144,1.4226225049206331,0.48359932081838325,1.0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27483506,0.268196797355047,0.3533557639401725,0,-0.3205225534727177,0,0.8270245956554862,-0.48145298394259034,-0.6170482799558776,-0.7419394837442267,-0.9956004915420144,-0.5087553387921524,-0.8600924580659807,1.0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52629943,0.268196797355047,0.3533557639401725,0,-0.34029724754834784,0,-1.5055070987589698,1.370572533244265,-0.6170482799558776,-0.011679441706261392,-0.40580557885706176,-0.6207192717610096,-0.29119069684477816,1.0,0,0,0,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27157354,0.268196797355047,0.3533557639401725,0,0.09474602211551512,1,0.9496320308742943,-0.001889289057054953,0.9573659215803475,-0.011679441706261392,0.18398933382789082,-0.5227508304132595,-0.8546743460543501,1.5,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
23212357,0.268196797355047,-4.852947622686668,1,-0.3205225534727177,0,0.7903918863522476,1.508616658394508,-0.6170482799558776,-0.7419394837442267,-0.9956004915420144,1.2686720970884544,0.6786513532370811,1.0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19499438,0.268196797355047,0.3533557639401725,1,0.2727182687961863,1,0.04577599928933662,-0.11439924076896499,2.5317801231165724,0.7185806003317039,3.1329638972526537,1.520590946268383,0.7328324733533862,2.0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40628331,0.268196797355047,-0.011085473123706089,1,-0.34029724754834784,0,-1.296177331311512,-0.7168461453255559,-0.6170482799558776,0.7185806003317039,0.18398933382789082,-0.3967914058232953,-0.5837687454728252,1.0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
496503,0.268196797355047,0.19716666234136715,1,0.9846072555188712,1,0.01736695942148629,-0.6745551705687778,0.9573659215803475,-0.011679441706261392,2.5431689845677012,-0.5087553387921524,-0.9196916901939161,2.5,0,0,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39504983,0.268196797355047,0.3533557639401725,0,-0.2018743890189369,0,-0.12168781466862978,-0.36974097515059273,-0.6170482799558776,-0.7419394837442267,-1.585395404226967,-0.6207192717610096,-0.29119069684477816,1.0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
